761,regular,規則的な；定期的な；一定の；正式の
762,honest,正直な，誠実な；率直な
763,idle,怠惰な；仕事のない
764,tidy,きちんとした，こぎれいな；整然とした
765,public,公の，公衆の；公然の
766,ready,準備ができた；喜んで～する
767,TRUE,真実の，本当の，当てはまる；本物の；正確な
768,expensive,高価な，値段の高い
769,familiar,よく知られた，なじみのある
770,private,個人の，私有の；私的な，秘密の
771,usual,いつもの，普段の；普通で，よくある
772,equal,等しい；平等の
773,comfortable,快適な，安楽で
774,convenient,便利な，都合のよい
775,calm,穏やかな，静かな；平静な；落ち着く；平穏
776,lonely,孤独な，ひとりぼっちの
777,elementary,基本の，初歩の
778,broad,（幅の）広い；広範囲な
779,typical,典型的な，代表的な；（～に）特有の
780,boring,（人）をうんざり［退屈］させる，退屈な
781,elderly,年配の；お年寄りたち
782,pure,純粋な；汚れていない
783,thin,薄い，細い；やせた
784,awake,目を覚まして；目覚める；～を目覚めさせる
785,FALSE,間違った，誤った；虚偽の，偽の
786,neat,きちんとした，こぎれいな
787,uniform,一様な，均一の；一定の；制服
788,responsible,責任のある；原因となっている
789,tight,引き締まった，（服などが）きつい；厳しい
790,uneasy,不安な，心配な；落ち着かない
791,suddenly,突然に，急に
792,therefore,それゆえに，したがって
793,finally,最後に；ついに，ようやく
794,especially,特に，とりわけ
795,indeed,本当に；実際，実のところは
796,frequently,しばしば，たびたび，頻繁に
797,twice,2度，2回；2倍に
798,badly,ひどく；下手に
799,fairly,公正に，公平に；かなり
800,fluently,流ちょうに，すらすらと
801,recover,（病気などから）回復する，～を取り戻す
802,elect,～を選ぶ；～を選挙で選ぶ
803,thrill,～をわくわくさせる；わくわくする
804,reserve,～を取っておく；～を予約する
805,feed,～にえさ［食物］を与える
806,bury,～を埋める；～を埋葬する
807,bend,～を曲げる，折り曲げる；曲がる，かがむ
808,attach,～を…にくっつける，付属させる
809,greet,～に挨拶する，～を迎える
810,attract,（人・注意）を引きつける；～を魅惑する
811,celebrate,～を祝う；（儀式）を行う
812,arrange,（会合など）の手はずを整える；～を手配する；～を配列する
813,remind,～を思い出させる，～を気づかせる
814,bow,お辞儀する，（頭・首）を下げる
815,appreciate,～のよさがわかる；～を鑑賞する；～に感謝する
816,participate,参加する，加わる
817,import,～を輸入する；輸入
818,trust,～を信用する；信用
819,decide,～することを決意する；～を決定する
820,notice,～に気づく，～に注意する；通知，知らせ
821,cross,～を横切る，渡る；十字型；斜めの，交差した
822,offer,～を申し出る，～に…を申し出る；提案，申し出
823,tend,～の傾向がある，～しがちである
824,mention,～に言及する，～を話す
825,suppose,（たぶん）～と思う，想定する；～と仮定する
826,allow,～を許す，許可する；～を与える
827,compare,～を比較する，～をたとえる
828,provide,～を供給する，与える，養う
829,approach,～に接近する；接近（法）
830,improve,～を改善する
831,accept,～を受け入れる
832,argue,議論する
833,enter,（場所・学校）に入る；～を記入する
834,express,～を表現する；急行列車［バス］
835,reduce,～を減らす
836,add,～を加える
837,describe,～を描写［記述］する
838,stare,じっと見る
839,share,～を分け合う，共有する；分け前
840,force,～を強制する；力；軍隊
841,gain,～を得る，もうける；～を増す
842,require,～を必要とする；～を要求する
843,consider,～を熟考する；～を…と考える，みなす
844,destroy,～を破壊する
845,gather,～を集める；（力など）を増す；集まる
846,perform,～を行う，遂行する；～を演じる
847,refuse,～を拒否する，拒む
848,remove,～を移す，取り去る，片付ける；（衣服）を脱ぐ
849,search,～を探る，調べる；（～を）捜す；探査，調査
850,prove,～だとわかる；～を証明する
851,suit,～に合う，適する；（服装・色などが）～に似合う；スーツ
852,waste,～を無駄に使う，浪費する；廃棄物；浪費
853,exchange,～を交換する；交換；両替
854,supply,～を供給する，支給する；供給
855,judge,～を判断する；～を裁判する；裁判官
856,refer,言及する，触れる
857,doubt,～を疑う；疑い
858,run,走る；流れる；（機械などが）動く
859,turn,回る；～に変わる；～を回す；～を…に変える；回転；順番
860,wrap,～を包む
