1,hug,～を抱きしめる
2,sign,印；記号；標識；兆候；～に署名する
3,stress,緊張，ストレス；強調
4,reason,理性；道理；理由
5,price,価格；代償，代価
6,age,年齢；老齢；時代，年代；長い間
7,average,平均（値）；標準，平均の
8,period,期間；時代，時期；時限；ピリオド
9,language,言語，言葉
10,nation,国，国家；国民
11,exercise,運動；練習；練習問題；（手・足）を動かす
12,trouble,困難；悩み；骨折り；～を悩ます
13,shape,形，姿；状態，調子，体調
14,government,政府；統治；行政
15,taste,味，味覚；好み；～の味がする
16,effort,努力；頑張り，骨折り
17,program,計画；プログラム；～のプログラムを作る
18,customer,顧客；得意先
19,situation,状況，事態；立場
20,knowledge,知識；認識
21,nurse,看護師；～を看病する
22,contact,連絡；接触；～と接触する
23,damage,損害，被害；～に損害を与える
24,opinion,意見，見解；世論
25,pain,痛み，苦痛；苦労
26,quality,質，性質；特性；良質
27,technology,科学技術
28,army,軍隊；陸軍
29,law,法，法律；おきて；法則
30,sentence,文；判決
31,symbol,記号；象徴，シンボル
32,volunteer,ボランティア，志願者；有志の
33,traffic,交通（量）
34,pollution,汚染；公害
35,diet,食事療法；日常食；国会
36,favor,好意；親切な行い；えこひいき
37,passage,（文章の）一節；（時の）経過；通行
38,talent,才能（ある人）
39,economy,経済（状態）；経済体制；節約
40,hurry,大急ぎ，急ぐこと；急ぐ
41,feather,羽根，羽毛
42,habit,（個人的な）習慣，癖
43,range,範囲，領域；射程
44,target,的，標的；目標
45,wheel,車輪；（自動車の）ハンドル
46,climate,気候；風土
47,gift,才能，資質；贈り物
48,electricity,電気；電流；電力
49,sample,見本，標本，サンプル
50,spray,スプレー；しぶき
51,tail,尾，しっぽ
52,agent,代理人，代理店；スパイ
53,stairs,階段
54,whistle,口笛；警笛
55,battery,電池，バッテリー
56,depth,深さ；奥行き；奥深い所
57,grade,等級；度合い；学年；成績
58,height,高さ，身長；高い所
59,novel,（長編）小説
60,origin,起源，源；生まれ，出身
61,planet,惑星
62,rival,競争相手，ライバル
63,shade,日陰，陰；日よけ；色の濃淡
64,storm,嵐；暴風（雨）
65,continent,大陸
66,humor,ユーモア，おかしさ
67,lecture,講義，講演
68,metal,金属
69,ocean,大洋，海洋
70,temple,寺院；こめかみ
71,calorie,カロリー
72,auction,競売；オークション
73,anniversary,記念日
74,thief,泥棒
75,athlete,運動選手；スポーツマン
76,furniture,家具，調度
77,license,免許証；認可，免許
78,arrow,矢；矢印
79,dot,小点；小数点
80,lung,肺
81,pity,哀れみ，同情；残念なこと
82,trash,くず，ごみ，がらくた
83,bargain,特価品，バーゲン；売買契約，取引
84,illustration,（本の）挿絵，図版；例解
85,liter,リットル
86,quarrel,口論，口げんか
87,wheat,小麦
88,cattle,牛（の群れ）
89,flavor,味，風味；味わい
90,automobile,自動車
91,Asia,アジア
92,intersection,交差点；交差
93,zoo,動物園
94,baggage,手荷物
95,Olympics,オリンピック
96,refrigerator,冷蔵庫
97,exit,出口；退出
98,past,過去；過去の；～を過ぎて
99,rest,（一時の）休み，休憩，休息；残りのもの；休む
100,line,線；ひも，綱；列
